City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,taroa,8.7058,171.2275,300.49,82,100,9.0,MH,1711943833
310,okhotsk,59.3833,143.3,272.96,85,95,1.57,RU,1711943736
311,haskovo,41.9403,25.5694,286.05,61,31,1.14,BG,1711943834
312,uglegorsk,49.0833,142.0333,272.37,89,100,2.37,RU,1711943834
313,ciudad valles,21.9833,-99.0167,298.58,73,95,1.96,MX,1711943834
314,poronaysk,49.2167,143.1167,275.25,74,82,0.86,RU,1711943834
315,paracuru,-3.41,-39.0306,299.32,90,100,1.74,BR,1711943835
316,barra de santo antonio,-9.4047,-35.5072,298.75,87,32,2.09,BR,1711943835
317,rawson,-43.3002,-65.1023,284.49,51,10,5.93,AR,1711943835
318,jiagedaqi,50.4167,124.1167,272.9,51,43,2.98,CN,1711943835
319,saint-philippe,-21.3585,55.7679,298.92,87,100,4.46,RE,1711943836
320,urangan,-25.3,152.9,298.26,83,98,2.24,AU,1711943836
321,benguela,-12.5763,13.4055,298.85,90,99,1.39,AO,1711943836
322,ceeldheer,3.8488,47.1806,301.63,75,11,4.88,SO,1711943836
323,onega,63.9061,38.1404,272.77,92,100,4.48,RU,1711943836
324,kitgum,3.2783,32.8867,293.28,85,9,1.06,UG,1711943837
325,kailua-kona,19.6406,-155.9956,299.13,84,40,5.66,US,1711943709
326,amahai,-3.3333,128.9167,304.08,67,57,1.99,ID,1711943837
327,callao,-12.0667,-77.15,298.55,78,20,7.72,PE,1711943749
328,luckeesarai,25.1833,86.0833,308.38,10,0,6.86,IN,1711943837
329,erdenet,49.0333,104.0833,278.2,30,56,6.58,MN,1711943838
330,vadso,70.0744,29.7487,263.24,73,20,3.6,NO,1711943713
331,abepura,-2.6333,140.5833,304.6,62,20,2.57,ID,1711943838
332,tshikapa,-6.4167,20.8,295.08,97,100,1.04,CD,1711943838
333,pemba,-12.974,40.5178,297.54,100,75,3.13,MZ,1711943838
334,sur,22.5667,59.5289,300.5,48,72,1.03,OM,1711943839
335,shimla,31.1,77.1667,288.54,48,20,0.0,IN,1711943839
336,yamba,-5.9,22.3,294.9,99,100,0.94,CD,1711943839
337,nicoya,10.1483,-85.452,298.94,60,82,2.07,CR,1711943839
338,beipiao,41.7919,120.7792,283.47,13,76,3.11,CN,1711943839
339,port douglas,-16.4833,145.4667,301.21,65,20,4.55,AU,1711943840
340,brigantine,39.4101,-74.3646,283.26,89,40,2.06,US,1711943840
341,fortuna,40.5982,-124.1573,284.78,88,100,3.09,US,1711943840
342,vila do maio,15.1333,-23.2167,294.59,78,19,7.04,CV,1711943840
343,funafuti,-8.5243,179.1942,307.15,70,75,2.06,TV,1711943841
344,arar,30.9753,41.0381,289.16,51,0,2.06,SA,1711943841
345,nyala,12.05,24.8833,296.18,10,100,5.88,SD,1711943841
346,vorkuta,67.5,64.0,266.11,96,100,3.27,RU,1711943841
347,novo aripuana,-5.1206,-60.3797,296.89,99,97,1.08,BR,1711943842
348,manay,7.215,126.5397,303.99,55,17,5.93,PH,1711943842
349,trinidad,-14.8333,-64.9,297.49,94,54,1.44,BO,1711943842
350,sao felix do xingu,-6.6447,-51.995,296.31,98,87,0.65,BR,1711943842
351,aripuana,-9.1667,-60.6333,297.0,90,19,0.44,BR,1711943723
352,labrador city,52.9463,-66.9114,266.1,73,100,3.6,CA,1711943843
353,monte alegre,-2.0078,-54.0692,297.37,94,99,1.65,BR,1711943843
354,kristiansund,63.1115,7.732,277.51,93,100,4.63,NO,1711943843
355,camara de lobos,32.6333,-16.9667,289.1,83,20,2.57,PT,1711943843
356,hithadhoo,-0.6,73.0833,302.4,70,81,2.11,MV,1711943843
357,puerto cabezas,14.0351,-83.3888,298.15,81,1,2.75,NI,1711943844
358,kuusamo,65.9667,29.1833,268.17,93,100,3.09,FI,1711943844
359,presidente epitacio,-21.7633,-52.1156,295.79,96,100,2.83,BR,1711943844
360,vila velha,-20.3297,-40.2925,298.68,87,0,4.63,BR,1711943765
361,ust'-kut,56.7938,105.7672,272.84,85,100,5.36,RU,1711943845
362,imranli,39.8754,38.1136,282.31,52,59,0.9,TR,1711943845
363,copala,16.65,-98.9833,297.98,76,1,1.12,MX,1711943845
364,san juan de los morros,9.9115,-67.3538,297.23,66,72,2.21,VE,1711943846
